# DDS,RB1A,RB2,RB3,RB4,RB1B
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.694915254237288130e-02,1.873446639486608381e-03,4.412734570118980425e-03,3.760105451789513917e-03,4.643484181566346833e-03,4.288827835905058977e-03
3.389830508474576259e-02,3.746893278973216761e-03,1.383059145005052608e-02,1.179820069735533321e-02,1.450928786380385749e-02,1.648382259251654838e-02
5.084745762711864736e-02,9.209433945057245510e-03,2.813270767132918654e-02,2.406284070208302567e-02,2.946843077499686908e-02,3.618176290367754178e-02
6.779661016949152519e-02,1.480407708697767215e-02,4.939692759902306052e-02,4.257132516453979165e-02,5.167555872221630403e-02,6.306197094201856923e-02
8.474576271186440302e-02,2.381172247379345630e-02,7.592272700867104540e-02,6.575434394999042642e-02,7.971443865411499685e-02,9.758492279950146953e-02
1.016949152542372947e-01,3.308021087394356213e-02,1.064198893793493472e-01,9.259470713723362556e-02,1.119351775565293333e-01,1.386903976741246103e-01
1.186440677966101725e-01,4.530893860823483055e-02,1.415924384742219821e-01,1.238891296888813276e-01,1.488264046388086959e-01,1.833940278169082505e-01
1.355932203389830504e-01,5.786877605679628667e-02,1.814288705591360906e-01,1.578635480155239912e-01,1.911843591003541953e-01,2.354070759554020842e-01
1.525423728813559421e-01,7.328712283864495525e-02,2.245959044675166771e-01,1.951355638856285546e-01,2.353450111828441493e-01,2.912536145428628598e-01
1.694915254237288060e-01,8.915580313161802772e-02,2.709313825618871463e-01,2.359255038272897176e-01,2.809004683808339342e-01,3.508380585079366454e-01
1.864406779661016977e-01,1.079559532508445885e-01,3.163790779766811889e-01,2.779391460171533046e-01,3.314291861741850975e-01,4.109514168230199438e-01
2.033898305084745894e-01,1.273633465161178591e-01,3.662559175150644775e-01,3.220221239318808437e-01,3.820258862240588638e-01,4.742854422996219954e-01
2.203389830508474534e-01,1.489411444726523315e-01,4.177317531593155997e-01,3.670612200528631797e-01,4.327908930986412717e-01,5.390221489861563020e-01
2.372881355932203451e-01,1.710858371341435480e-01,4.636314193800027961e-01,4.104148225767856317e-01,4.841028120416084324e-01,6.013795939517743161e-01
2.542372881355932090e-01,1.952342984080722155e-01,5.109250426727206529e-01,4.549407097864550109e-01,5.337782723555831721e-01,6.628950262579610397e-01
2.711864406779661008e-01,2.200245794144769229e-01,5.578481163308819379e-01,5.009494545692602108e-01,5.831233288402373205e-01,7.234969990448231192e-01
2.881355932203389925e-01,2.456504270985075677e-01,6.031529336696910271e-01,5.491514799201924202e-01,6.328521597187305447e-01,7.794366358012951856e-01
3.050847457627118842e-01,2.715981629845714007e-01,6.506547662514071684e-01,5.893049231969831325e-01,6.795111842638950073e-01,8.331285935370044138e-01
3.220338983050847204e-01,3.002852922816751646e-01,6.958120286292641676e-01,6.270179563468616379e-01,7.257149063776514586e-01,8.820423000712684924e-01
3.389830508474576121e-01,3.301899737275252322e-01,7.376396985777864401e-01,6.636295018252362787e-01,7.710022106775942241e-01,9.232272296301881065e-01
3.559322033898305038e-01,3.616487910785734505e-01,7.705093318299892635e-01,7.092551399931051881e-01,8.050841199178037089e-01,9.675253408316926151e-01
3.728813559322033955e-01,3.939196964970151371e-01,8.045179889659682670e-01,7.472368711746727454e-01,8.394769562107835537e-01,9.861781720529791961e-01
3.898305084745762872e-01,4.245021059594211721e-01,8.376199232247220072e-01,7.807809483214607216e-01,8.723933054536479048e-01,9.934669464193111033e-01
4.067796610169491789e-01,4.540553291695325067e-01,8.650050505818873692e-01,8.140875657198652915e-01,8.992405707480882748e-01,9.965332702254695585e-01
4.237288135593220151e-01,4.867977205231909799e-01,8.906489487006931105e-01,8.443680366957861949e-01,9.245257438526954807e-01,9.983795775896259217e-01
