# DDS,RB1A,RB2,RB3,RB4,RB1B
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.69E-02,1.87E-03,4.04E-03,3.95E-03,5.53E-03,4.29E-03
3.39E-02,3.75E-03,1.29E-02,1.17E-02,1.73E-02,1.65E-02
5.08E-02,9.21E-03,2.66E-02,2.37E-02,3.54E-02,3.62E-02
6.78E-02,1.48E-02,4.69E-02,4.32E-02,6.26E-02,6.31E-02
8.47E-02,2.38E-02,7.23E-02,6.68E-02,9.58E-02,9.76E-02
1.02E-01,3.31E-02,1.02E-01,9.31E-02,1.35E-01,1.39E-01
1.19E-01,4.53E-02,1.36E-01,1.23E-01,1.82E-01,1.83E-01
1.36E-01,5.79E-02,1.72E-01,1.57E-01,2.29E-01,2.35E-01
1.53E-01,7.33E-02,2.13E-01,1.95E-01,2.78E-01,2.91E-01
1.69E-01,8.92E-02,2.57E-01,2.36E-01,3.29E-01,3.51E-01
1.86E-01,1.08E-01,3.04E-01,2.78E-01,3.95E-01,4.11E-01
2.03E-01,1.27E-01,3.50E-01,3.19E-01,4.47E-01,4.74E-01
2.20E-01,1.49E-01,3.98E-01,3.62E-01,4.93E-01,5.39E-01
2.37E-01,1.71E-01,4.45E-01,4.11E-01,5.48E-01,6.01E-01
2.54E-01,1.95E-01,4.91E-01,4.58E-01,6.22E-01,6.63E-01
2.71E-01,2.20E-01,5.37E-01,5.03E-01,6.85E-01,7.23E-01
2.88E-01,2.46E-01,5.84E-01,5.47E-01,7.15E-01,7.79E-01
3.05E-01,2.72E-01,6.28E-01,5.89E-01,7.75E-01,8.33E-01
3.22E-01,3.00E-01,6.70E-01,6.33E-01,8.19E-01,8.82E-01
3.39E-01,3.30E-01,7.11E-01,6.79E-01,8.41E-01,9.23E-01
3.56E-01,3.62E-01,7.47E-01,7.10E-01,8.59E-01,9.68E-01
3.73E-01,3.94E-01,7.79E-01,7.45E-01,8.90E-01,9.86E-01
3.90E-01,4.25E-01,8.10E-01,7.81E-01,9.29E-01,9.93E-01
4.07E-01,4.54E-01,8.45E-01,8.13E-01,9.66E-01,9.97E-01
4.24E-01,4.87E-01,8.72E-01,8.40E-01,9.66E-01,9.98E-01
4.41E-01,5.22E-01,8.95E-01,8.68E-01,9.56E-01,9.99E-01
4.58E-01,5.56E-01,9.15E-01,8.99E-01,9.45E-01,1.00E+00
4.75E-01,5.90E-01,9.35E-01,9.12E-01,9.81E-01,1.00E+00
4.92E-01,6.20E-01,9.53E-01,9.30E-01,1.00E+00,1.00E+00
5.08E-01,6.48E-01,9.67E-01,9.52E-01,1.00E+00,1.00E+00
5.25E-01,6.79E-01,9.77E-01,9.68E-01,1.00E+00,1.00E+00
5.42E-01,7.13E-01,9.86E-01,9.79E-01,1.00E+00,1.00E+00
5.59E-01,7.47E-01,9.92E-01,9.88E-01,1.00E+00,1.00E+00
5.76E-01,7.78E-01,9.93E-01,9.98E-01,1.00E+00,1.00E+00
5.93E-01,8.11E-01,9.97E-01,1.00E+00,1.00E+00,1.00E+00
6.10E-01,8.44E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00
6.27E-01,8.75E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00
6.44E-01,9.01E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00
6.61E-01,9.28E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00
6.78E-01,9.56E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00
6.95E-01,9.80E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00
7.12E-01,9.91E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00
7.29E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
7.46E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
7.63E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
7.80E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
7.97E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
8.14E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
8.31E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
8.47E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
8.64E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
8.81E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
8.98E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
9.15E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
9.32E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
9.49E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
9.66E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
9.83E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
