waiting, sent, received
1.58e+12,1.58e+12,1.58e+12
8.821e+05,0,196.2
52.86,1.003,199.5
592,0,199.5
3.942e+04,0,201.5
5812,0,201.5
44.97,0,33.88
53.99,0,200.6
527.1,0,199.5
486.4,0,200.3
513.2,0,201.1
505.5,0,200.4
498.5,0,210.2
514,0,199.5
495,0,200.8
516.3,0,200.4
512.4,0.9685,209.6
511.2,0,210.4
482,0,200.9
41.43,0,32.91
50.89,0,199.6
558.9,0,200.5
563.7,0,199.7
584.1,0,200
539.9,0.972,199.2
543.6,0,210
547.1,0,200.5
542.6,0,210.4
560.5,0,200.6
559.9,0,200.4
548.8,0,210
538.8,0,200.6
39.89,0,32.92
51.86,0,199.5
612.9,0,199.6
604.4,0,209.3
604.4,0,201.4
633.1,0,199
591.3,0.9971,209.6
618.5,0,200.5
620.4,0,210
605.7,0,200.5
618.5,0,201
577.5,0,200.5
51.86,0,201.4
583.4,0,200.3
42.86,0,200.5
2.8e+05,0,201.9
3479,0,202.2
70.12,0,33.04
49.87,0,201.1
525.9,0,200.8
520.7,0.9878,199.7
787.9,0,200.3
546.8,0,200.5
514.2,0,200.5
521.6,0,199.5
503.1,0,200.5
476.8,0,200.5
525.6,0,200.3
528.6,0,199.3
505.3,0,200.1
44.88,0,32.91
47.3,0,200.3
563.3,0,201.3
546.7,0,199.5
548.3,0,200.5
529.6,0,200.6
568.1,0,200.6
539,0,209.7
548.5,0,199.5
528.8,0,200.6
550.8,0,200.5
547.5,0,199.8
550.8,0,200.5
41.86,0,32.91
54.05,0,200.9
609,0,200.5
612.9,0,209.8
596.3,0,199.7
610,0,200.5
576.5,0,199.5
602,0,199.5
583.8,0,199.3
589.6,0,200.8
616.4,0,200.6
601.4,0,200.8
59.84,0,201.4
589.5,0,200.5
52.85,0,201.1
8747,0,201.9
2098,0,201.2
46.9,0,32.91
51.95,0,200.4
500.2,0,200.2
484.2,0,200.5
517.9,0,200.5
520.8,0,198.5
507.7,0,200.2
503,0,199.7
508.4,0,201
527.8,0,199.4
549.4,0,200.6
511,0,200.8
512.8,0,199.6
40.9,0,33.9
49.13,0,210.5
556.1,0,199.5
554.8,0,200.5
542.8,0,200.9
554.7,0,209.5
565.7,0,199.5
552.2,0,200.4
573.5,0,209.4
562.2,0,200.5
557.4,0,209.5
581.6,0,200.5
535.4,0,200.1
55.88,0.9675,32.94
43.89,0,210.2
577,0,199.7
610.9,0,200.5
601.4,0,209.4
637.5,0,199.8
646.2,0,201.1
607.1,0,200.6
615.7,0,200.5
616.5,0,200.5
609.8,0,199.9
611.9,0,200.7
45.2,0,200.6
578.7,0,200.1
35.92,0,200.5
1.616e+05,0,32.94
1083,0,33.94
715.6,0.9964,32.94
600.4,0,33.88
482.2,0,32.91
567.3,0,32.91
534.7,0,33.94
715.3,0,32.9
115.7,0.999,32.91
116.7,0,33.94
133.6,0,32.94
99.71,0,32.94
2285,0,33.91
97.84,0,33.91
99.73,0,32.91
117.6,0.9975,32.91
98.55,0,33.94
116.3,0,32.94
85.32,0,32.88
5665,0,202.5
47.87,0,202.2
563.2,0,209.4
1.25e+05,0,200.9
2.712e+04,0,0
5.56e+04,0,0
2.16e+04,0,199
131.4,0,200.4
586.5,0,200.8
2165,0,205.4
37.93,0,199.4
587.7,0,209.8
4910,0,201.3
53.83,0,200.5
609.6,0,200.1
418.4,0,201.3
49.85,0,200.8
606,0,200.2
542,0,201.7
46.45,0,201
582.5,0,200.7
1.033e+04,0,201.8
2588,0,201.3
50.87,0,33.9
58.99,0,200.2
513.7,1.005,209.8
518.1,0,201
524.4,0,199.8
537,0,210.5
485.5,0,200.5
510.7,0,200.5
532.8,0,200.4
509.3,0,200
506.6,0,198.8
495.3,0,200.8
517.8,0,210.1
32.94,0,33.88
47.87,0,201
556.9,0,199.9
551.6,0,199.5
547.5,0,200.5
549.3,0,209.6
536.5,0,200.7
557.7,0,200.2
552.4,0,199.6
547.3,0,200.4
593.5,0,200
536.7,0,199.7
538.5,0,199.5
49.84,0,33.94
54.83,0.9978,199.5
635.3,0,200.7
628,0,200
624.3,0,209.4
613.1,0,200.7
612.6,0,199.9
620,0,199
590.9,0,199.9
609.5,0,202.5
608.4,0,200.5
617.4,0,200.4
50.89,0,199.5
604.4,0,209.7
37.9,0,200.5
2.772e+05,0,201.3
2605,0,201.5
76.38,0,33.91
98.74,0,200.4
528.4,0,200.9
568.8,0,199.7
518.2,0,199.4
529,0,200.6
541.3,0,201
500.7,0,200.4
522.9,0,200.5
538.9,0,200.5
521.9,0,199.9
522.5,0,200.7
532.9,0,199.8
54.84,0,33.93
75.78,0,211.9
580.6,0,200.6
548.2,0,200.7
597.4,0,200.5
589.5,0,210.4
574.5,0,200.5
570.8,0,200.5
574.6,0,208.9
568.1,0,201
559.6,0,199.5
578,0,200
576.4,0,200.2
53.86,0.989,32.89
74.8,0,200.9
617.5,0.9856,200.1
631.9,0,200.2
592.3,0.9768,209.5
581.4,0,200.7
622.6,0,200.7
606.6,0,200.4
636.8,0,200.5
626.3,0,200.6
620.1,0,197.9
621.9,0,199.9
58.84,0,200.5
587,0,199.5
55.09,0,200.8
